border-style	google, excel, sheets, sheets
clear-all	app, clear, all, emails, phone
details	geometric, half, shape, highlight, triangle
droplet-filled	water, rain, liquid, fill
droplet-filled-2	water, rain, liquid, fill
droplet-half	water, rain, liquid, fill
droplet-half-2	water, rain, liquid, fill
edit-circle	pencil, change, update
file-info	info, information, informations, paper, file, document, page
flag	banner, pin, report, map, warning, alert
flag-2	banner, pin, report, map, warning, alert
flag-3	banner, pin, report, map, warning, alert
flare	shine, flare, heat, sunlight, hot, sun, heat
geometry	build, architecture, create, compass
grain	dots, pattern, random, round, circle, nodes
layers-linked	data, network
list-search	find, agenda, shopping
nfc	payment, nfc, cash, chip, shopping, cashless, pass, contactless
perspective	3d, perspective, transform, reshape, scale
pyramid	pattern, abstract, geometric, shape
ruler-2	maths, dimensions, size, width, length, geometry, measure, technical
signature	name, certficate, sign, edit, write, document, writing
sort-ascending-2	filter, classify, arrange, order
sort-descending-2	filter, classify, arrange, order
squares-diagonal	boxes, layers
squares-filled	boxes, layers
text-direction-ltr	left, right
text-direction-rtl	left, right
tilt-shift	filter, shift, photography, photo
writing	name, certficate, sign, edit, write, document, pen, drawing, contract, signature
writing-sign	name, certficate, sign, edit, write, document, writing, pen
aerial-lift	cable, car, gondola, mountains, ski, tramway
affiliate	network, connection, collaboration, people, connect, organization, networking
arrow-ramp-left	direction, side, turn
arrow-ramp-right	direction, side, turn
backhoe	rear, equipment, digger, excavation, tractor, loader, construction, site, excavator
ball-american-football	sport, game, sportsman, play, match, pitch
ball-football-off	sport, game, sportsman, play, match, pitch
ball-football	sport, game, sportsman, play, match, pitch
battery-automotive	vehicle, charge, motor, current, car, electricity, electric, power
blockquote	citation, quotation, saying, text, section, style, styling, css
box-margin	css, cascading, style, section, space, text, content, outside, container
box-model	css, cascading, style, section, element, square, website, container
box-multiple-0	css, cascading, style, sheet, background, section, zero, website, layer
box-multiple-1	css, cascading, style, sheet, background, section, one, website, layer
box-multiple-2	css, cascading, style, sheet, background, section, two, website, layer
box-multiple-3	css, cascading, style, sheet, background, section, three, website, layer
box-multiple-4	css, cascading, style, sheet, background, section, four, website, layer
box-multiple-5	css, cascading, style, sheet, background, section, five, website, layer
box-multiple-6	css, cascading, style, sheet, background, section, six, website, layer
box-multiple-7	css, cascading, style, sheet, background, section, seven, website, layer
box-multiple-8	css, cascading, style, sheet, background, section, eight, website, layer
box-multiple-9	css, cascading, style, sheet, background, section, nine, website, layer
box-multiple	css, cascading, style, sheet, background, section, website, layer
box-padding	css, cascading, style, section, space, text, content, website, container, inside
brand-airbnb	flat, apartment, holiday, vacation, city, break, book
brand-apple-arcade	technology, video, game, service, macOS, device, play, online
brand-asana	task, management, project management, manage, collaborate, collaboration, team, teamwork, technology
brand-bing	search, result, find, search, engine, internet, microsoft, web, technology
